Name,Description,Latitude,Longitude,InfoURL,ImageURL,,,
UCSB,A great university located along the California Coast,34.416929,-119.845991,https://en.wikipedia.org/wiki/University_of_California,https://www.history.ucsb.edu/wp-content/uploads/LagoonFall20141.jpg,,,
Gaviota Beach,One of the windiest stretches of coast around. The boat launch is currently out of comission,34.470756,-120.227667,https://www.parks.ca.gov/?page_id=606,https://www.californiabeaches.com/wp-content/uploads/2014/09/IMG_8750-Large-e1560973313173-1000x595.jpg,,,
Morro Rock,A large volcanic plug,35.36945,-120.867878,https://www.morro-bay.ca.us/383/Morro-Rock-Beach,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBYWFRgWFhUZGRgaGhoYGBwZGhgYGRoaGBoaGhwYGRoeIS4lHCErIRgaJjgmKy8xNTU1GiQ7QDs0Py40NTEBDAwMEA8QHxISHzQrJCs0NDQ0NDQ0NjQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NDQ0NP/AABEIAIcBdQMBIgACEQEDEQH/xAAbAAABBQEBAAAAAAAAAAAAAAAEAAECAwUGB//EAEEQAAEDAgMEBggEBgEDBQAAAAEAAhEDIQQSMQVBUWETInGBkaEGFDJCUrHB8GKS0eEVI3KCovHSssLiFlNjc4P/xAAZAQADAQEBAAAAAAAAAAAAAAAAAQIDBAX/xAAkEQACAgEEAgIDAQAAAAAAAAAAAQIREgMhMUETUSJhBHGxMv/aAAwDAQACEQMRAD8A8pDEujRPRJwxe7gc9ghppujR3RpuhSemh5AORNkR/QJugUvSDIByJZEaaKXQqfELMDypZEZ0KXQo8QZgmVShFdEkKKPGLMHiRCi5nJF9AkWJOAZAXRpsi0GUW7z+36p34XgZ4bknpjzM7ImyIx9KFDo1DgPIGyJZET0aRppYBkC5UsqIyJZEnAMgfKmyorJyS6MdqWAZApYmyorJySLEsB5AuVLIiSxIMRgGQNkSyInok3RowDIHyJsiJyJZEYBkDZE2VEmml0aTgGQNlTZUR0aWVLAdg+VLKiMqbKpxHkUZUsquypsqWIZFUJQrMqWVGI7K4ShWZUsqMQsgGp4Uw1TDFSiJsqypK/IkqxFZtsw3gn9VJ0WiMOVdTwull6bZmjF6AqbaS6MYVrzZoG7f4qh+z4Ma9miSkmDizHbQlT9UWoMGRuVrKKLEY3qR4KDsIulZhwUzsEClkJxOZ9WS9XXRO2fyVLsGnkmS0zC9XT+rrZ9VVjcO2NL8UNokF2fkax4LHOedILYAiLgiVnV8JBsDG6VuU2FjszdQovBOt+3VRW9lN7UYLMPv4J6oJ5cl0eFwAebva0byRJjkIuo7U2U1h6hlvMEHz5Kc43iKnVnKuYodGth2DPBVPwhG5OicmZgpp3UDa2twtKlhZsNe0BXUqYa9uYG2t4kdoScRqRiGkptoAjXuj6rTDBJhpAnQcDu5p/UiIdaJjjHcpaHkZZw0awOF7+ScYaRr9B3cVsHCcj4S624TYdqQwvDNPvRB156KWkOzGGHPK3EwkKP3otapgyBpp3+PNUGidyEgbM7oE3QLRbTOsJxQJ1sniGRmmmm6NaL8PCrFDkjEMgHo04po40FOnhp+4VYiyM91A8N0qs0lt0WNa7rA6XExPKQoMpgn2TE7uHApYhkZIw9vv5qLsNGsD75LZ9SIg7jYbz4cUnYPkf8AutzNh2qHFFKTMU4e3y3eHFR6ErZOFtaeBjj3qirhCBoPmpcUVkZXRJhSRrqR1UQwjcpoLAjTTZUW5hO5QLClgPIHypZVdkT5U8R2UBqsaxTDVNrUKInIh0aSIDCkrxJyO1ZhrSQrKVIjgtLDiALTyVpp5j7IHYIWrkzWkVMc2LsvxVvQtcN/ZCLoYWdyJ9Uj/SxckmWrZk+phVuwHBbzMIT2K5mCO9ql61djws5r1QjcpMpLpKmBj91WcEEvOmLBoyG4cFJ+zQdFsNwcKQw/JT5a4YYeznHbLKgcCRuXUCmhMbiKTAcz72GVozOkmAIGmu+E3+RS+RPivg592EPBR9VG+B2wB4lCbV2zUZpGTMQ4ssRqQ0OJMmNSB4LFZjCMwawODhLi4+zulp91t2iNed1k/wAxv/KsrwRT+TO12a+kx7TlbUMGwe11zHCdPquzGz6NVslkGPeGnZuXg+LJDheTJ9niOC0KG18TQIyYh7SRAAeS3tLHSDrOix1JOdPhhGlt0epbQ9HmZTD2NJsDlgeS5qpscsJBDHgmMxa53yBhC4T0+qiPWGMqMy+4Mj5+L4TobW1F1pt9LsC8A/zWiLjJeeGpHfKrT1pw2k7CUIS4OexOzyHEzF+Bb4BCPwh3rs63pJgojpHu5Gm+N17gzqhX4/Cv6jHmdzQx5nsGWN/LQrpj+Wu0Yy0PTOUZSINkbh6brdVvAEkC/H910GG2cyo0OYA5hJAcIAJBIIk8wVezY4F7dmpC0evFohaUkc/SwzD7XV3yJOo4SIhPTwbLEWvcnXu+yt92CbaABAQ7sK3t7rD5qM7KxozmYBjhaTblH0WfVwoB9lbQw8GQL6byYVrKObVpndFoQpUFXsc9UDYADDzJ39llHDFrXSWF3ImFvVdn30nuhD1MLFh5K1JNUS1JFJw7H3yxyhVVdmjiG8CQVtYQPy2Gmtt3BXVsOXXdbgP2Webi6G42rOXbgstoBHHKT8kO7BGZ+kLraeDaTvH6op2FYB7Wa2h/cKvPRKhZwrsJxTspEaLt3bKDx1dw0BB7gFQ3YxJALOwwBPirWvF8h4pdHOUaZj2W74JIG66sZhWGZ6upkSZkdohdE3Y4Am3zhRfgm7gAAFD1IvgpRa5OaGDYLi2tzr3W080nYBhaSJMDlHdp8lr1cK3me763We6hlMtaJOsST+6Oex8GHWwoB9lVV3NgQwjiSdfJdCykHasM8QIgc7oatgL6T3QAmpK9wafRz1F7QZLC7tMJPY1xJyxyhatbDxYK2jQflkDttry4qnXJKvg5ypRjiOFjdUli28fhXF0useHDkgTh1SVolumCMpTuVraQ4FXihCsYQNwnv8k8ROQm0WwIJ5jKTHekrRWcknTJyR6FVwmX2XApMYRqFsu2fG4nsAP1QbsMQdCO0QueOomuTvcKFQfCMY+VX0VgdeKmxiiVMN0aFBrUUwLOYSOKMw1QAySuecTSLCDhwblVuwU6QES2oDoD27lMPHFYZSRpSZnuwrhu8Fn7R2jToNl7r26oEuMmAYF4nfotHbW1m0aZIcM5sxpuSSdcusDVcI/DGu99WoS5uZrXcaj7NDoFgGzYARcKZa1cjWnfBfjdt1XuLQ5lJgaXOIkuhok9bQazYTAXM4zEnM8N90DK4TObrDOL2AIkcc29UbdqB1QPbBAymdxm/fEgdyocTDnn2ifOBayFByqTZEp1aRZitoirRcHthzmXLbDO0zLhuiDYW1tdUYd8UiC3rOIzH8LbBgHbfwVbHat0zSdLm8ER4eKIY3rkEkSc1uAFte5axikqRg5Nu2ZoGaswWgSTw3z5/RX4hueqBuAcbmdYaL7rT2J8GwF+fSXkDsh1u8z4JUhNV5n3bdjTe33qqEB1mOyNj+k9kwJ8vFSom30vbK0mZ8FbtNmVjZN3ASNLkSSR4FU02gZhPugxzJiPADxSAMrkB0cBm3bwf38B3G4J5Ly+QxppmzQXdRgE7jJPnKEkZiCT7t7XMmR8xHALQxJ6HDU3gdZ7w46dan1mtEcDJP67on69mkPfo0GbRrYYmqxrAyeiyFpgtbJBzTIInnMngtjAemdJzBnYQ8mCB1hpJdJiwjS57Vy2165IawPzBnt9aW53XeQeRJbyiBZZrGFga8zDiRBFs24jw8wq0k6Vi1Jbuj12jUZUY17ZLHCQRYffJSOEafdd3f7WH6I7Yp5G4Z1nNLw0uIAcS7NlbxPWd+UrpyRrfuG5Vk0TswA4Jh913nKi3Cge6+EaSPx+CrdPB3gqTYUihuFZxM81MbPYdFK/Byk13CR3I+XsNiJwcbie9J2HE6FTl3FO1r+KW/sexFuHbPskFTOFB08xPzCtYHTqiDm4+SltjSQPQwgGjge5SNB86g6wnawg8e5WioTYtt2JO+RqgN1EgXAPfJ7YVL6bTq0+Nke934T99qg4zqE1JiaMx+EYfdf3RHzQdTAMPuu8DPyWtUcB8XcEG94/H4FWpSJaRm+qhs9R8chCiMFTscxnmiarjwf4IZ7z8LvD6K0pPsm0hHZbDp5Jn7PjcSO0pumjQkdypfUfud5qkpPsVx9FGOwGYzB8/msyrs6/s/fetF1aoNSfE/qqn46pOvl+q2jktjOTizJr7PnQX5oR+znD3St44p/LwCi2seHkFqpMylFMwvUncCkuiFZ3LwSTzfonFez01tAbipdBxg9t1VLdxgqbHncZXj7nsCds9h93wP0VZ2aNxI7Qi2VzvCubUBRnJdk4oz24CN4KYYMjctMBJ7g0EkgAXJNgEvJIMUZ5pEC9hvJ0HeuYx+3Kgf0bGQXHqukOJboHjc0ds9yN29tbO11NjerAMx1nEEwQD7IDgIkXK57ZxDOvJL85D82Z0iDYOi8GL6W5hZT1nTouEPZl418U3Pm5daZzOaSZdO7T73kOrB+GpZGwWWIBA/mNDW5yeZkjt5KvbDGnLaHTJAmIIJgzqZOsDfMILAU3Cm8l0MacrpuCdRDeNgO/tSSTipfYnJpuJm12ZjDibtInkAD9U9JpNEGBMtjwIPjayP2pGcC05gAB+ICdebnITCe3lA3k+LSdO1riumLtWc8lToBx5PSMIGrr+IE+fyU61Tqh3Alp1m8mPCD4Ke0nQA7eLW3Wn5gKLGZqjGnSHOMaSQI7YACpEMQZkDBw1PcQT5koKk0uYX6EE5Ykb/P90ZtFunNwmNYJKroPmmRFxmAGs7wfGPBAdle1WySCPZyD+7/RQTCS9vC09jS0knlB80ZiD7ZO58f9IBn71VGz3S4iCRMfp8h4JiDiA8Og+11RyzmJjiBHZdbXpgOkawMBLabG53QQ0AZXe1xgC3ErFpalxt1sxGvALexeKzYR8gA1HMY3LIEMgG24nrk9oWM08lJfo3hWLTMo1pLeIvxvqD8vBC1G5g0E2EvH9zjfX7lQwT5Iv2xyAEeSMwlJr3tY6zOq1xmLF/XPLq79y3brcwXoJxGBLaDHubcumT7RvLh2DrL0f0SxTauGYHPAe09HlBE29i39MeBXnm2CGPextqeXPTE2O4QTxH10V2HrVKVJ9Nz4dRfTrMAA60uc49aJcA6HADjvCycm0vs1SSb+j1h2CPxOVLsEfiPghvR/0jp4ljTmDKhs5hPvfhJ9ob7LZLlGUlsyqi+DM9VPxFOKB4rRL1Ev7E85DwQD0Ck2kisw4BOI4IzYYoqZTVrWKYCm1Q5DSGFIck4ohWNUglY6KjQVbsLzKJIUCEW0FAVTBT7zkHV2afjd81quCqeTxQpyBxRhVNln43eCFfs53xldC5/NUvqHitFqyIenEwHYNw95UPwh4roH1eQVD6jfhatFqSJcInPPw33ZUOoch4BdC97PhCoe5nALRajIcEYDsOOA8FH1QcFtuazgo5Gc1otRmbgjH9TSWzlbx8klXlYvGjpTXB1AUepxI7Csc47km9cXFiz1cTaBA0f4qXrEcCsB2Ki6zsXtoizBccfohquWTJJcnXP2i1gk2HFYuK20apyizLmLFzyNAZsL3jiFz7q73kZpM2A3eGiuqsLAAXWOsfLwCw1JJ/FCW7sLpEAmDJcZMbg0GADv8tQs+u5rSQOoBBzb4Ls92nXrNECxgcCo03nNOa8kjvi3NS2kMzy4C5seQaJMnxA7uKwjH5FylsBVA3IyZcXnMXXuR1QCJBAG7QGCqhQcx5a1uYl+ds2bmaYt3O1HJPUqy6TZo6wA0ze7bhvRD8XmNPUvNQWA0G/TdMczC3poxtMCGC6znESAKhBv1S1hLDOhNh4ITBOIfn3kGe12ZrvJx8Ue7FkAMZcHMJO8OOpO+0+SCw9Elx3dV08gBP0W0L3synW1A+1MO3Ict7kc4F/rCpZZ+fd7MeU+J8lZinuykwRI8jCrLSKYJ1JPec3lvWiMnyVPdLKjuQIP9Mmfoq3e3ycBbhl08voiQyKZH4TPmPoqMSy7CNRr2RomiQHEsPW5uPZYCe+09yWBBa4hwIFt2lyR5z3otjA4lpN72n4nZo8ApV2lr8oE5hB3R1gR5lMVdjhsMfppu4n56rXx7pwtEWiPykl0k89PELJbVDmxo4uiOBuL8f8AS0qhDqNFoGocYnQMc6SL3tl81Eluv2aRez/RkYZgbUcIgEh0jeDr9URgmiC69jA5Tc/PVVYhhDx3i318UXSZlYJHE98D9fJadGZq7UwIdQ6Rx9im2Bxc577GNQGmPBZeLxWd4e4DMQQ4CwhsAfKe9a20K38kMZYODQRrmzAuJk6WF44btFjYSg54JicrZjlLR9W34AlY6eybl72/Rtqb0o+twnZudpD2OLS0h0iRBu0GeQPmuvw3pVXY0NdDzmnM5pPVjSRG/fquawDcxYM5JLi0tAvGpvpuK1XU3MouLGFznE33lubLHAy0T3gXRPUitnyENOTVo7rYe0TWYS8NDwbgaZXey4XNjBH9q0y0Lz/0fa6m+rldDyCMgO5vsucNWnTTnyWh6K41z8VXAdLIi+vVcADO/wBo+KytNuujXdJX2ddlCcMHBPCQCVgOGhTAUQVNpQBIBSCZOmhMYlRJCkQoOSY0RdCrc1qdxVTys3ItRE5rVW5rUnKDpRkFFb2N5eCHexnDyVz5VLwVal9ia+ih9Nnw+SqcxvDyVj83FVOqHitFL7M2ipzBwUCwcFdn5pFx5LRNkOijIkrCDySVZEFHqxUXUCASbAXJ3ADesXDbT2j/AO1Sdcm4De72wr8Ti8e9jmGjRa1zYJzg9pBznXgs25L0d/nh9g20ceHCGnqg/mt8kHQfJBI6oiZt3d8Kj1TEA3FInf8AzBPbyV1KniW3FJh19+ew6blm4zfBk9SLdtmhhHgHMZgSYtJO8QdLaKOMqBz5DY3RyG4bo5cQhGU8RvYyedS/fZTYKwmaQJtfpBFuNlPgnd0HmhVWXNdr+HWNx/VVV6lhx87jWeMGO5L+df8Ali8k9cb+66dmFqOPWZ2TUYL/ADWkdKV20RLVj0wKsZPbqnbWLTLTojTsuqfcH52qdPY7zPUjtf8AKB9ytcXXBnkvZlsYQcy0sAG5HnflIduNwC2O0gnuVzNlPF8g7yflCZ+zHgeyOYl1/wDG6UoSfCGpxXLMLGEPygWIa1pn8Dctu2AhpgZTeHTr4+cea6FuyXfA2d3WNv8AFM/Y7+DPP6NVKMl0Q3F72YeYdYSPejmJED5rMLHutcjRdcNhHLI9reNPAmFF+x6kEBg5Q5nzJMdybUukT8X2cqzDuYQ4WI04d6lXY8uDzrMiIgQeC3v4DX4C/wD8jP1SGwa29ocdfbZHfe/7eBjIn4+zmG0CDPObWPctHB1nNEX9ktG8QZkee5dCz0TeQDnpg8Mz5HI9SPNTZ6K1J9un+f8AZDRSVcM5urgs7sx6zjc3Atrru0NyoYbDPIdk6wi4JFhu1hdQPRirEZ2R/WP0T0/R57bZ6RO4F51sRaIOmn7JRTXI2kcxUxTjALfZBaLzAkmJ33JW76PY9jCXQBExMySRAvBiAT5oit6O1CZ6nPrhonu+7dyah6LvM9em3gM5cXflBCJRUlTCMmpWZuApFz8gLRoQ4u0zSDv3ArrKlMMaAIDQ3UWJc1uVseDTE2IWdS9F3tOYVaQJ3fzLT2NWjS2W9jADUp9WQMueIN3B2aBfTuWWrBuq/hrpzirv+mewnD5qpBeal33j+X1cpaOJtI57oQfo7tPoa3SuFnZmloIFnEeJBjvC08Zs2vVEF7GtmTldJMaCdw5BAf8ApV8znZHMn6BXGGztbsic02qfB6bSe17GvaZa4BzTxDhIPgVIN5rG2LiMlBjKj2ZmAMkEwWts33dQIHciqm06bdXjuBPkAudwknwzZSjXKFtPa9OgQHzJvYWDZguJNlqCFwXpNhHYl4c2sxjA0NAOfMbkyREDVbmG2xlaxrg0kNaCQ5wBIABI6itwlSpEqcbds6MFPmXOO2+B7g5dcR45bKVHbhOrGD/9JH/QljNdDyi+zoC5VucufqbdcPcYeXS/+CspbYYR14a7e1pzx3wD5KZRn6GpQ9mu5ypc4LPdtKnG890fVC1NqtBEMlvvGYI4w2L+KzelqPpmnl012az6g5qkvHNZLtr3P8sRJiXwY3atsn/i40axs8DUaPk0peHU9MPND2atiqqrB9lDU8c4gyxgP/2fXKhqmPfoGMPIVNORlmqS0tW+CvJpVyXPZzVXRDirKNRrh13ZHcGw+3bb5JOosOlQ97P/ACWsYT7RnKcH2VENG9LOEz8OIs9xM6Rltxm/yVFWiLRnJg5gSBB3QYv5LZRl6Zk5Q9lrnhJAnDP+Ejv/AGSVVIi4+zzPOOXkptxBGjiOwkITP9wEs/3AW9GIacU743fmKm3HvHvnxQT2uGrHDtbHzUqVN7vYY939LC75J0h2zSZtmoPeHg1S/jdTiPvvWRldMZTI1GW/goyeB8EsV6Hk12bTdtVPwnx/VI7Zfy7iQsXOpdLy8m/onihZM2GbVcdXEd7v1RLNpfjPn+qwWVJ1j/EfRWtezeZP4Wg+MtCKQrZ0DdpvHvn87VbS2s7Kf5r5gkDPG/QLnxUZuFQ9rWD9U2f8Dv8AEf8AajG+2GX0jaq7YqjSq/cbPdvHam/j9YR/Mf33WP0w3tjtyj6BTZjWsEg8oziD22PiqxrsVp9G230gr65/8Wn6Jv8A1JW3ub+Vn/FYlXHSIl3HXN8olCvqg74Gujv1sk2+h0jp2+k1XflP9rfpCmPSZ4MFrO9pHyXKUXAmzudmz9UhUBOpJ7Gx80k2LFHZn0lBF6XgT9WK7+OCPYcLcGn5gLiWETGb5zPcT5LRfDWt6x03nj2IcmNRVHSfxtvF4/sYf+5TpbYYdXO/J+hXHvrCfaMHmbduqtoYlkanwVKTFijtv4jT3vA7Q4fVXU8Ux2jwfzLlKoBDSXOiBpAjzCJwVdl274Ny095s4qfI6srxq6OpZWadHA+KmXA7/n+i5nBFgcBnmecTu0W094EAEk8AST4C6UtSgjpZBTn8x99yr6Q/E3xIQ9J7sriC8xbX9TZLZdR7nuEEj+0x/kl5dhPSom57ps9viq3tfPtNPaZjhHBbfQz8E9gP0VdTBDg38oS80Q8TMVzXxE+BlIB/xOjhJ+a0auDbO7uA/RN/DuBHgFS1oi8cjOc2qdHRy6588yiA+ZJn831JRztmu+LwVX8Ofuf9+Ca1IiwkDOc/fPkPqm65mc3lfwVz8FW3OHif2UPVa3+z+6rOIsJAr8MSZOcx+Kw7iUsrhaXEcwwjzbKvOFr/AAiORPyVeSuPd+f/ABTU4hgytggmG34hrW+YarTXq/ZHyyqbaVT4T4j9Fc/D1QPvz6qecRYsFZUcNR5l3llVnSnh/j/4Jwyp8J8D/wAbqOd/wE90fNoRlEMWTp1nE8P7QPDqp3MLhd7h/SS3/pgpmV372eQP+1b606fYP5Xfqi0FMm0uEdfxl09smUz41Jae0P48M0eSQxR+A/ldCd2LPw/4u/RFoKYg7gWR2P8A+SSrOP5eZHzhJFioyNnejgcDZjiRF2BxHMZnAJqOwaIeWkOJBg3AEjiBFuwpJLK3bNukX19i0RFqTRybVk9suKT9jNfamymGjVxa/N2RnIjsSSQnsIKOxWNbl6Nh/OSOYlw+aAdshjWl2Ww1Og/LmSSUqbplKKb3BqlFkE5AR2AeCBdWZPsctBHkZPekks5akjeOnEFxGKMiM193VAj5qp1cmLmZNhYEjdqkkk27BJUCmtZ1psYJ5mPFUUQbyABv7uxJJVEmXRRUkxblExvUS46R8kklojPsfPAH3/pM54mx7Rf6hJJMQ5fPs7uZ8pVjahIkfN31KSSAG6SBb7K1cZVe0M1EtHw9+nNJJTLlGkf8szG1jJNoFrtafmJRFGuTzJ1m/wA0klfRma21HuDGti5LW6nU7rG2+8lVYbEsaD1NBcAkDzJJ8UyS54cG8uQ3CYlujaQaIEnM617SBY+BW/QqgtAtcmLESedkklc+iI8M0MLQcGkNAH9OvfmsrMLh3SS13WOu4JJJeyG+Ag4yCA5wnkHX7bKTccc2UkA3IAk6QNYjeE6SeCoSk7HqV3E2dpra/HeYTU8cDMzzt+hSSSxRSbIuxzNNe0FNVxgZc2EcCZ8NEkk1FBbI0doMdoZ3aO+qJ6QJJJOKsFJgv8SZMEwew/QIpj7TqE6SJRS4HFsk08FItnj5JJKChmEab1a0ApJKhE20gpCiOA8AkkkMY4VnwjwCrdhWcEkkWxUhvVWHcfEj6pJJJZMeKP/Z",,,
Del Playa Drive (65 Block),Every college movie cliché smashed down into one block. It's fun though I swear.,34.409406,-119.856647,"https://en.wikipedia.org/wiki/Isla_Vista,_California""",https://www.independent.com/wp-content/uploads/2021/04/Deltopia-2019.jpeg?fit=1200%2C900,,,
Trigo-Pasado Park Rock Wall,"Small ""bouldering""wall (Isla Vista Novelty Item)",34.411367,-119.860186,http://www.ivparks.org/parks/descriptions/,https://localwiki.org/media/cache/c7/45/c745c72331c85a8df44fe4f22c602b2b.jpg,,,
Rincon Point,The best place to surf with 500 of your closest friends. Tearing down the Surfline cam totally keeps it less crowded,34.372869,-119.477844,https://www.californiabeaches.com/rincon-point-surfing/,https://i0.heartyhosting.com/www.surfer.com/wp-content/uploads/2019/01/deroulet_-0087.jpg?w=1200&amp;ssl=1,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,